Company,TypeName,Inches,Gpu,OpSys,Price_euros,Ram_GB,Weight_kg,SSD_GB,HDD_GB,Total_Storage_GB,Is_IPS,Is_Touchscreen,Screen_Width,Screen_Height,Res_Class,PPI,CPU_Brand,CPU_GHz,GPU_Brand
Dell,Notebook,15.6,AMD Radeon 530,Windows 10,800.0,8,2.2,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.6,AMD
Dell,Ultrabook,15.6,Intel UHD Graphics 620,Windows 10,1298.0,8,1.88,512,0,512,False,False,1920,1080,FHD,141.21199808219862,Intel,1.9,Intel
HP,Notebook,17.3,Nvidia GeForce 930MX,Windows 10,896.0,8,2.5,0,1024,1024,False,False,1920,1080,FHD,127.33567457123111,Intel,1.6,Nvidia
Chuwi,Notebook,15.6,Intel HD Graphics,Windows 10,244.99,4,1.89,64,0,64,False,False,1920,1080,FHD,141.21199808219862,Intel,1.44,Intel
Asus,Notebook,14.0,AMD Radeon R2,Windows 10,199.0,2,1.65,32,0,32,False,False,1366,768,HD,111.93520355955211,AMD,1.5,AMD
HP,Notebook,17.3,AMD Radeon 530,Windows 10,439.0,4,2.71,0,500,500,False,False,1920,1080,FHD,127.33567457123111,AMD,2.5,AMD
Dell,Ultrabook,13.3,Intel UHD Graphics 620,Windows 10,1869.0,16,1.2,512,0,512,False,True,3200,1800,QHD,276.053530085501,Intel,1.8,Intel
Apple,Ultrabook,13.3,Intel HD Graphics 6000,Mac OS X,998.0,8,1.35,256,0,256,False,False,1440,900,HD,127.67794013309688,Intel,1.6,Intel
Lenovo,Notebook,14.0,Intel HD Graphics 500,Windows 10,249.0,4,1.44,64,0,64,False,False,1366,768,HD,111.93520355955211,Intel,1.1,Intel
Acer,Notebook,15.6,Intel HD Graphics 620,Linux,367.0,4,2.1,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.7,Intel
Dell,Notebook,17.3,AMD Radeon 530,Windows 10,979.0,8,2.8,128,1024,1152,True,False,1920,1080,FHD,127.33567457123111,Intel,1.6,AMD
HP,Notebook,15.6,Intel HD Graphics 620,Windows 10,488.69,4,1.86,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.5,Intel
HP,Notebook,15.6,Nvidia GeForce 930MX ,Windows 10,879.0,8,2.1,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.6,Nvidia
Asus,Notebook,15.6,Intel HD Graphics 620,Linux,389.0,4,2.0,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,Intel
Dell,Gaming,15.6,Nvidia GeForce GTX 1060,Windows 10,1499.0,16,2.65,256,1024,1280,True,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Asus,Notebook,15.6,Nvidia GeForce 940MX,Linux,522.99,8,2.3,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.5,Nvidia
Acer,Notebook,15.6,Intel UHD Graphics 620,Windows 10,682.0,4,2.2,256,0,256,True,False,1920,1080,FHD,141.21199808219862,Intel,1.6,Intel
Dell,2 in 1 Convertible,17.3,Nvidia GeForce 150MX,Windows 10,999.0,12,2.77,0,1024,1024,False,True,1920,1080,FHD,127.33567457123111,Intel,1.6,Nvidia
Apple,Ultrabook,13.3,Intel Iris Graphics 540,macOS,1419.0,8,1.37,256,0,256,True,False,2560,1600,QHD,226.98300468106115,Intel,2.0,Intel
Lenovo,Notebook,15.6,Intel HD Graphics 520,No OS,369.0,4,2.2,128,0,128,False,False,1366,768,HD,100.45466986113651,Intel,2.0,Intel
Asus,Gaming,17.3,AMD Radeon RX 580,Windows 10,1299.0,8,3.2,256,1024,1280,False,False,1920,1080,FHD,127.33567457123111,AMD,3.0,AMD
Dell,Notebook,15.6,AMD Radeon R5 M430,Windows 10,639.0,4,2.3,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,AMD
Asus,Notebook,17.3,Nvidia GeForce 920MX,Windows 10,466.0,4,2.8,0,1024,1024,False,False,1366,768,HD,90.58340172449303,Intel,1.1,Nvidia
Lenovo,2 in 1 Convertible,10.1,Intel HD Graphics 400,Android,319.0,4,0.69,64,0,64,True,True,1920,1200,FHD,224.17380907857276,Intel,1.44,Intel
Acer,Notebook,15.6,Nvidia GeForce MX150,Windows 10,841.0,8,2.2,256,0,256,True,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Nvidia
HP,Notebook,15.6,AMD Radeon R4 Graphics,Windows 10,398.49,4,1.86,256,0,256,False,False,1920,1080,FHD,141.21199808219862,AMD,2.5,AMD
HP,Notebook,13.3,Intel UHD Graphics 620,Windows 10,1103.0,8,1.49,512,0,512,False,False,1920,1080,FHD,165.6321180513006,Intel,1.8,Intel
Acer,Notebook,15.6,Intel HD Graphics 620,Windows 10,384.0,4,2.4,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.4,Intel
Dell,Notebook,15.6,AMD Radeon 520,Windows 10,767.8,8,2.13,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.8,AMD
HP,Notebook,15.6,Intel HD Graphics 520,Windows 10,439.0,4,1.91,128,0,128,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,Intel
Asus,Notebook,15.6,Intel HD Graphics 620,Windows 10,586.19,4,2.0,256,0,256,False,False,1366,768,HD,100.45466986113651,Intel,2.5,Intel
MSI,Gaming,17.3,Nvidia GeForce GTX 1070,Windows 10,2449.0,16,2.43,256,2048,2304,False,False,1920,1080,FHD,127.33567457123111,Intel,2.8,Nvidia
Asus,Notebook,15.6,Intel HD Graphics 520,Linux,415.0,4,2.0,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,Intel
Dell,Notebook,17.3,AMD Radeon 530,Windows 10,1299.0,16,2.8,256,2048,2304,False,False,1920,1080,FHD,127.33567457123111,Intel,1.8,AMD
Dell,Ultrabook,14.0,Intel UHD Graphics 620,Windows 10,879.0,8,1.7,256,0,256,False,False,1920,1080,FHD,157.3505121487356,Intel,1.6,Intel
Lenovo,Notebook,14.0,Intel HD Graphics 620,No OS,599.0,8,1.7,256,0,256,True,False,1920,1080,FHD,157.3505121487356,Intel,2.7,Intel
Asus,Notebook,14.0,Intel UHD Graphics 620,Windows 10,941.0,8,1.4,256,0,256,False,False,1920,1080,FHD,157.3505121487356,Intel,1.6,Intel
HP,Notebook,15.6,Intel HD Graphics 620,Windows 10,690.0,8,1.86,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Intel
Asus,Ultrabook,15.6,Nvidia GeForce GTX 1050 Ti,Windows 10,1983.0,16,1.8,512,0,512,False,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
HP,Notebook,15.6,AMD Radeon 520,Windows 10,438.69,4,1.86,0,500,500,False,False,1366,768,HD,100.45466986113651,Intel,2.0,AMD
HP,Notebook,14.0,Intel HD Graphics 400,Windows 10,229.0,4,1.44,32,0,32,False,False,1366,768,HD,111.93520355955211,Intel,1.6,Intel
Lenovo,Notebook,15.6,Intel HD Graphics 620,Windows 10,549.0,4,1.9,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Intel
Asus,Gaming,17.3,Nvidia GeForce GTX 1050 Ti,Linux,949.0,12,3.0,0,1024,1024,False,False,1920,1080,FHD,127.33567457123111,Intel,2.8,Nvidia
Microsoft,Ultrabook,13.5,Intel HD Graphics 620,Windows 10 S,1089.0,4,1.252,128,0,128,False,True,2256,1504,FHD,200.84255993695703,Intel,2.5,Intel
Dell,Ultrabook,13.3,AMD Radeon 530,Windows 10,955.0,8,1.4,256,0,256,True,False,1920,1080,FHD,165.6321180513006,Intel,1.8,AMD
Dell,Notebook,15.6,AMD Radeon 530,Windows 10,870.0,8,2.2,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.8,AMD
MSI,Gaming,17.3,Nvidia GeForce GTX 1050,Windows 10,1095.0,8,2.7,128,1024,1152,False,False,1920,1080,FHD,127.33567457123111,Intel,2.5,Nvidia
Acer,Notebook,14.0,Intel HD Graphics 520,Windows 10,389.0,8,2.1,0,1024,1024,False,False,1366,768,HD,111.93520355955211,Intel,2.0,Intel
Asus,Gaming,15.6,Nvidia GeForce GTX 1050,Windows 10,949.0,8,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Lenovo,Notebook,15.6,Intel HD Graphics 620,No OS,519.0,8,2.2,0,2048,2048,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Intel
Dell,Notebook,15.6,Intel UHD Graphics 620,Windows 10,855.0,8,2.02,128,1024,1152,False,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Intel
Acer,Notebook,15.6,Nvidia GeForce MX130,Windows 10,530.0,4,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.7,Nvidia
HP,Notebook,17.3,Nvidia GeForce 930MX,Windows 10,977.0,8,2.5,128,1024,1152,False,False,1920,1080,FHD,127.33567457123111,Intel,1.6,Nvidia
Dell,Ultrabook,15.6,Intel UHD Graphics 620,Windows 10,1096.16,8,1.88,256,0,256,True,False,1920,1080,FHD,141.21199808219862,Intel,1.6,Intel
Apple,Ultrabook,12.0,Intel HD Graphics 615,macOS,1510.0,8,0.92,512,0,512,True,False,2304,1440,FHD,226.41554716935852,Intel,1.3,Intel
HP,Notebook,14.0,Intel HD Graphics 620,Windows 10,860.0,8,1.63,256,0,256,False,False,1920,1080,FHD,157.3505121487356,Intel,1.6,Intel
Lenovo,Notebook,15.6,AMD R4 Graphics,Windows 10,399.0,4,2.2,128,0,128,False,False,1920,1080,FHD,141.21199808219862,AMD,2.5,AMD
Acer,Notebook,15.6,AMD Radeon R5,Windows 10,395.0,4,2.1,0,1024,1024,False,False,1366,768,HD,100.45466986113651,AMD,3.0,AMD
Dell,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows 10,1349.0,16,2.65,128,1024,1152,True,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
HP,Ultrabook,15.6,Nvidia GeForce GTX 940MX,Windows 10,699.0,8,1.83,256,0,256,True,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Nvidia
HP,Notebook,15.6,Intel HD Graphics 620,Windows 10,598.99,8,1.96,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Intel
Asus,Gaming,15.6,Nvidia GeForce GTX 1060,Windows 10,1449.0,16,2.2,128,1024,1152,True,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Dell,Ultrabook,13.3,Intel UHD Graphics 620,Windows 10,1649.0,8,1.21,256,0,256,True,False,1920,1080,FHD,165.6321180513006,Intel,1.8,Intel
Asus,Gaming,15.6,AMD Radeon RX 560,Windows 10,699.0,8,2.45,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,AMD,3.0,AMD
Acer,Notebook,15.6,Nvidia GeForce MX150,Windows 10,689.0,8,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Nvidia
HP,Notebook,13.3,Intel UHD Graphics 620,Windows 10,1197.0,16,1.49,512,0,512,False,False,1920,1080,FHD,165.6321180513006,Intel,1.8,Intel
Dell,Gaming,15.6,Nvidia GeForce GTX 1060,Windows 10,1195.0,8,2.65,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Nvidia
Asus,Ultrabook,14.0,Intel HD Graphics 620,Windows 10,1049.0,8,1.25,256,0,256,False,False,1920,1080,FHD,157.3505121487356,Intel,2.7,Intel
Acer,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows 10,847.0,8,1.5,256,0,256,True,True,1920,1080,FHD,165.6321180513006,Intel,1.6,Intel
Dell,Notebook,15.6,AMD Radeon R5 M430,Linux,599.9,8,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.7,AMD
Dell,Notebook,15.6,AMD Radeon R5 M430,Linux,485.0,4,2.2,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,AMD
Asus,Notebook,15.6,Nvidia GeForce 920M,Windows 10,577.0,6,2.0,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.4,Nvidia
HP,Gaming,15.6,Nvidia GeForce GTX 1050,Windows 10,1249.0,12,2.62,128,1024,1152,True,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
HP,Notebook,15.6,AMD Radeon 530,Windows 10,719.0,8,1.91,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.7,AMD
HP,Notebook,15.6,AMD Radeon R2,Windows 10,349.0,4,2.1,0,500,500,False,False,1920,1080,FHD,141.21199808219862,AMD,1.5,AMD
Dell,Notebook,15.6,AMD Radeon 520,Linux,647.0,8,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,1.6,AMD
HP,Ultrabook,13.3,Nvidia GeForce MX150,Windows 10,1119.0,8,1.38,256,0,256,True,False,1920,1080,FHD,165.6321180513006,Intel,2.7,Nvidia
Microsoft,Ultrabook,13.5,Intel HD Graphics 620,Windows 10 S,1340.0,8,1.252,256,0,256,False,True,2256,1504,FHD,200.84255993695703,Intel,2.5,Intel
HP,Notebook,14.0,Nvidia GeForce 940MX,Windows 10,659.0,6,1.58,256,0,256,True,False,1920,1080,FHD,157.3505121487356,Intel,2.5,Nvidia
Lenovo,Notebook,15.6,Intel HD Graphics 520,Windows 10,414.9,4,1.85,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,Intel
Asus,Ultrabook,14.0,Nvidia GeForce 940MX,Windows 10,1193.0,8,1.3,256,0,256,True,False,1920,1080,FHD,157.3505121487356,Intel,2.7,Nvidia
MSI,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows 10,1299.0,16,2.2,256,1024,1280,False,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Lenovo,Notebook,14.0,Intel HD Graphics 620,Windows 10,1480.0,8,1.58,256,0,256,True,False,1920,1080,FHD,157.3505121487356,Intel,2.7,Intel
Asus,Ultrabook,15.6,Nvidia GeForce MX150,Windows 10,1262.0,16,1.5,256,1024,1280,False,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Nvidia
Dell,Ultrabook,13.3,Intel Iris Plus Graphics 640,Windows 10,1379.0,8,1.23,256,0,256,False,True,3200,1800,QHD,276.053530085501,Intel,2.4,Intel
Lenovo,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows 10,1399.0,8,1.37,256,0,256,True,True,1920,1080,FHD,165.6321180513006,Intel,2.5,Intel
HP,Notebook,14.0,Intel UHD Graphics 620,Windows 10,722.0,4,1.63,0,500,500,True,False,1366,768,HD,111.93520355955211,Intel,1.6,Intel
Dell,Ultrabook,13.3,Intel UHD Graphics 620,Windows 10,1629.0,8,1.21,256,0,256,True,False,1920,1080,FHD,165.6321180513006,Intel,1.6,Intel
HP,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows 10,1398.99,8,1.26,256,0,256,True,True,1920,1080,FHD,165.6321180513006,Intel,1.6,Intel
HP,Notebook,14.0,Intel UHD Graphics 620,Windows 10,1084.0,8,1.63,512,0,512,False,False,1920,1080,FHD,157.3505121487356,Intel,1.8,Intel
Dell,Notebook,15.6,Nvidia GeForce 940MX,Windows 10,1130.33,8,2.16,256,1024,1280,True,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Nvidia
Asus,Notebook,17.3,Nvidia GeForce 920MX,Windows 10,564.0,4,2.0,0,1024,1024,False,False,1920,1080,FHD,127.33567457123111,Intel,2.0,Nvidia
Asus,Notebook,15.6,Nvidia GeForce 940MX,Windows 10,1118.0,8,1.7,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.8,Nvidia
Acer,Notebook,15.6,Intel HD Graphics 620,Windows 10,479.0,6,2.1,0,1024,1024,True,True,1920,1080,FHD,141.21199808219862,Intel,2.4,Intel
MSI,Gaming,15.6,Nvidia GeForce GTX 1070,Windows 10,2241.5,16,1.8,256,2048,2304,False,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Lenovo,Notebook,15.6,Nvidia GeForce 940MX,No OS,629.0,8,2.2,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Nvidia
HP,Notebook,17.3,Nvidia GeForce 930MX ,Windows 10,1271.0,16,2.5,512,0,512,False,False,1920,1080,FHD,127.33567457123111,Intel,1.8,Nvidia
Acer,Notebook,15.6,AMD Radeon R5,Windows 10,451.0,4,2.1,256,0,256,False,False,1366,768,HD,100.45466986113651,AMD,3.0,AMD
HP,Notebook,15.6,Intel HD Graphics 400,No OS,259.0,4,1.86,0,500,500,False,False,1366,768,HD,100.45466986113651,Intel,1.6,Intel
HP,Notebook,14.0,Intel UHD Graphics 620,Windows 10,812.0,8,1.63,0,1024,1024,False,False,1920,1080,FHD,157.3505121487356,Intel,1.6,Intel
Asus,Notebook,14.0,AMD Radeon R2,Windows 10 S,277.99,4,1.65,64,0,64,False,False,1366,768,HD,111.93520355955211,AMD,1.5,AMD
Dell,Notebook,17.3,AMD Radeon 530,Windows 10,1396.0,16,2.8,256,2048,2304,False,False,1920,1080,FHD,127.33567457123111,Intel,1.8,AMD
HP,Notebook,17.3,Intel UHD Graphics 620,Windows 10,928.0,8,2.5,256,0,256,False,False,1920,1080,FHD,127.33567457123111,Intel,1.6,Intel
Dell,Notebook,15.6,AMD Radeon R7 M445,Windows 10,638.99,8,2.36,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.5,AMD
Dell,Notebook,15.6,AMD Radeon R5 M430,Windows 10,449.0,4,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.0,AMD
Acer,Ultrabook,14.0,Intel UHD Graphics 620,Windows 10,884.0,8,1.6,256,0,256,True,False,1920,1080,FHD,157.3505121487356,Intel,1.8,Intel
Acer,Notebook,15.6,Nvidia GeForce MX130,Windows 10,572.0,4,2.2,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,2.7,Nvidia
HP,Notebook,15.6,Intel HD Graphics 620,Windows 10,598.0,8,2.05,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.7,Intel
HP,Notebook,14.0,Intel UHD Graphics 620,Windows 10,988.0,8,1.63,256,0,256,False,False,1920,1080,FHD,157.3505121487356,Intel,1.8,Intel
Lenovo,Notebook,15.6,Intel HD Graphics 500,No OS,252.36,4,1.9,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,1.1,Intel
Asus,Gaming,17.3,Nvidia GeForce GTX 1050,Windows 10,938.0,8,3.0,128,1024,1152,False,False,1920,1080,FHD,127.33567457123111,Intel,2.5,Nvidia
Lenovo,Notebook,15.6,Nvidia GeForce 920MX,No OS,499.0,4,2.2,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.5,Nvidia
HP,Notebook,13.3,Intel HD Graphics 620,Windows 10,699.0,4,1.32,256,0,256,True,False,1920,1080,FHD,165.6321180513006,Intel,2.5,Intel
Acer,Notebook,17.3,Nvidia GeForce MX130,Windows 10,655.0,4,3.0,0,1024,1024,True,False,1920,1080,FHD,127.33567457123111,Intel,2.7,Nvidia
Lenovo,Notebook,14.0,AMD Radeon RX 550,Windows 10,1116.02,8,1.75,256,0,256,True,False,1920,1080,FHD,157.3505121487356,Intel,1.6,AMD
Lenovo,Gaming,15.6,Nvidia GeForce GTX 1050M,No OS,869.0,8,2.4,256,0,256,True,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Toshiba,Notebook,15.6,Intel HD Graphics 520,Windows 10,602.0,4,2.1,0,500,500,False,False,1366,768,HD,100.45466986113651,Intel,2.3,Intel
HP,Notebook,15.6,AMD Radeon R4 Graphics,Windows 10,369.0,4,1.86,256,0,256,False,False,1366,768,HD,100.45466986113651,AMD,2.5,AMD
Asus,Ultrabook,14.0,Intel UHD Graphics 620,Windows 10,1099.0,8,1.25,256,0,256,False,False,1920,1080,FHD,157.3505121487356,Intel,1.8,Intel
HP,Ultrabook,12.5,Intel HD Graphics 515,Windows 10,2014.0,8,0.97,512,0,512,True,True,3840,2160,4K,352.4651472131677,Intel,1.2,Intel
Asus,Notebook,15.6,Intel HD Graphics 500,Windows 10,344.0,4,2.0,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,1.1,Intel
MSI,Gaming,17.3,Nvidia GeForce GTX 1070,Windows 10,2029.0,16,2.9,256,1024,1280,False,False,1920,1080,FHD,127.33567457123111,Intel,2.8,Nvidia
Acer,Notebook,15.6,Intel HD Graphics 520,Windows 10,447.0,4,2.1,0,1024,1024,False,False,1366,768,HD,100.45466986113651,Intel,2.0,Intel
Dell,Gaming,15.6,Nvidia GeForce GTX 1050,Windows 10,1249.26,16,2.56,512,0,512,False,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Dell,Gaming,15.6,Nvidia GeForce GTX 1050,Windows 10,899.0,8,2.62,0,1024,1024,False,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
Lenovo,Notebook,15.6,Intel HD Graphics 620,Windows 10,498.0,4,1.9,128,0,128,False,False,1366,768,HD,100.45466986113651,Intel,2.5,Intel
MSI,Gaming,17.3,Nvidia GeForce GTX 1060,Windows 10,1890.0,16,2.8,256,1024,1280,False,False,1920,1080,FHD,127.33567457123111,Intel,2.8,Nvidia
HP,Ultrabook,14.0,Intel HD Graphics 620,Windows 10,1082.0,4,1.48,256,0,256,False,False,1920,1080,FHD,157.3505121487356,Intel,2.7,Intel
HP,Notebook,15.6,AMD Radeon 520,Windows 10,619.0,6,1.91,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.6,AMD
Lenovo,2 in 1 Convertible,14.0,Intel HD Graphics 620,Windows 10,629.0,4,1.74,256,0,256,True,True,1920,1080,FHD,157.3505121487356,Intel,2.4,Intel
Asus,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows 10,1315.0,8,1.1,256,0,256,False,True,1920,1080,FHD,165.6321180513006,Intel,1.6,Intel
Dell,2 in 1 Convertible,15.6,Intel UHD Graphics 620,Windows 10,1049.0,8,1.56,256,0,256,False,True,1920,1080,FHD,141.21199808219862,Intel,1.8,Intel
Toshiba,Notebook,15.6,Intel HD Graphics 520,Windows 10,447.0,4,2.1,0,500,500,False,False,1366,768,HD,100.45466986113651,Intel,2.2,Intel
Asus,Notebook,15.6,AMD Radeon R5 M420,Windows 10,403.0,4,2.03,0,1024,1024,False,False,1366,768,HD,100.45466986113651,AMD,3.0,AMD
Acer,Notebook,17.3,Nvidia GeForce MX150,Windows 10,805.0,4,3.0,256,0,256,True,False,1920,1080,FHD,127.33567457123111,Intel,1.6,Nvidia
Dell,Notebook,15.6,AMD Radeon 520,Windows 10,728.0,8,2.13,256,0,256,False,False,1920,1080,FHD,141.21199808219862,Intel,1.6,AMD
Lenovo,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows 10,1079.0,16,2.5,256,0,256,True,False,1920,1080,FHD,141.21199808219862,Intel,2.8,Nvidia
